"Gene.ID","GS."
"ENSG00000166033",0.837129605939142
"ENSG00000182197",0.828449576628619
"ENSG00000182179",0.827201396648961
"ENSG00000072840",0.819678934427865
"ENSG00000112562",0.819243868111121
"ENSG00000011105",0.813386912367772
"ENSG00000085063",-0.812139917992971
"ENSG00000103415",-0.80377059927004
"ENSG00000035862",0.800517609471374
"ENSG00000131620",0.798056136434294
"ENSG00000118855",-0.79722599516659
"ENSG00000152086",-0.796301706268739
"ENSG00000144034",-0.7909333289278
"ENSG00000164032",-0.785763037420684
"ENSG00000146147",-0.782166190167024
"ENSG00000111052",-0.782073999730714
"ENSG00000140564",-0.779663260049217
"ENSG00000164050",-0.7784903709658
"ENSG00000020181",0.778453654990937
"ENSG00000101347",-0.776816411245484
"ENSG00000134470",-0.771181621158297
"ENSG00000171552",-0.770640188624905
"ENSG00000103528",0.769351791371477
"ENSG00000196405",0.76621460601693
"ENSG00000120820",0.765728530289596
"ENSG00000103316",0.76551276166677
"ENSG00000128294",-0.763102481838469
"ENSG00000253250",-0.762166138604643
"ENSG00000139410",0.762150842458477
"ENSG00000138735",0.759542969191714
"ENSG00000149260",0.759115951204547
"ENSG00000198722",-0.757709035370025
"ENSG00000071242",-0.757441141014678
"ENSG00000123572",0.757284569580601
"ENSG00000175356",0.755959670151502
"ENSG00000075886",-0.755924856502002
"ENSG00000100242",-0.755520552646721
"ENSG00000168056",0.755304255077526
"ENSG00000160310",0.753446527321687
"ENSG00000099204",-0.751807451038429
"ENSG00000205795",0.75084711223776
"ENSG00000069702",-0.7507225218243
"ENSG00000154027",0.750081119114329
"ENSG00000136867",-0.748739685207891
"ENSG00000106077",0.748399948845106
"ENSG00000065882",-0.747636652297721
"ENSG00000128045",0.74761999144705
"ENSG00000130813",0.74619235093878
"ENSG00000109466",-0.745760134140057
"ENSG00000074047",0.745736106293354
